fold,nail_backbone,conj_backbone,use_demographics,best_epoch,mae,r2,acc@0.5,acc@1.0,acc@2.0,train_loss
0,timm/convnext_small.in12k,timm/convnext_small.in12k,w_demo,23,1.0853445529937744,0.04994043208834653,0.3,0.55,0.8,1.3566057682037354
0,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,w_demo,16,1.2692893743515015,-0.26405622605753876,0.2,0.3,0.8,0.9728521704673767
1,timm/convnext_small.in12k,timm/convnext_small.in12k,w_demo,39,1.2435295581817627,-0.23318681186615153,0.4,0.45,0.8,1.0563682317733765
1,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,w_demo,52,1.3303463459014893,-0.21368726218118583,0.25,0.45,0.8,1.2159234285354614
2,timm/convnext_small.in12k,timm/convnext_small.in12k,w_demo,14,0.3415687680244446,-1.430851717654516,0.8125,1.0,1.0,1.7003427743911743
2,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,w_demo,30,0.20849275588989258,0.020347073945583993,1.0,1.0,1.0,1.2698824405670166
3,timm/convnext_small.in12k,timm/convnext_small.in12k,w_demo,28,0.7971131205558777,-0.5947953068948604,0.5,0.75,0.75,1.5400750637054443
3,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,w_demo,29,0.7040094137191772,-0.3028331859747124,0.625,0.75,0.8125,1.6126104593276978
4,timm/convnext_small.in12k,timm/convnext_small.in12k,w_demo,41,0.6552075147628784,0.5122225421274174,0.625,0.625,1.0,0.9826915860176086
4,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,w_demo,38,0.7673245072364807,0.3419817492839229,0.5625,0.625,1.0,1.2295335531234741
0,timm/convnext_small.in12k,timm/convnext_small.in12k,wo_demo,22,1.1241475343704224,-0.0088896840141377,0.3,0.4,0.8,1.303778886795044
0,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,wo_demo,7,1.2646756172180176,-0.3104636411984829,0.2,0.4,0.8,3.8098089694976807
1,timm/convnext_small.in12k,timm/convnext_small.in12k,wo_demo,25,1.231222152709961,-0.20135096882578463,0.4,0.45,0.8,1.172727108001709
1,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,wo_demo,42,1.3255469799041748,-0.21148275578624887,0.3,0.45,0.8,0.8784253597259521
2,timm/convnext_small.in12k,timm/convnext_small.in12k,wo_demo,26,0.3343048095703125,-1.8980000013757579,0.75,0.9375,1.0,1.0470184087753296
2,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,wo_demo,30,0.21692109107971191,-0.04886899146603452,0.9375,1.0,1.0,1.4789716005325317
3,timm/convnext_small.in12k,timm/convnext_small.in12k,wo_demo,13,0.7627303600311279,-0.17033359809061,0.625,0.6875,1.0,2.2767443656921387
3,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,wo_demo,27,0.7017706632614136,-0.3162217595442145,0.6875,0.75,0.75,1.2944151163101196
4,timm/convnext_small.in12k,timm/convnext_small.in12k,wo_demo,38,0.6567685604095459,0.5195041674600629,0.625,0.6875,1.0,1.0956662893295288
4,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,wo_demo,36,0.7793005108833313,0.3433904836996341,0.5,0.625,1.0,1.0290074348449707
